Iteration,E_total,E_kinetic,E_potential,Temperature,Pressure,
349      ,-4618.390528,5673.582281,-10291.972808,3.786174   ,1.812918,
350      ,-4619.098183,5690.959508,-10310.057692,3.797771   ,1.854781,
351      ,-4618.962037,5684.728558,-10303.690595,3.793613   ,1.857090,
352      ,-4617.889749,5657.355304,-10275.245053,3.775346   ,1.823779,
353      ,-4617.031731,5624.100242,-10241.131974,3.753153   ,1.780363,
354      ,-4616.988449,5598.118572,-10215.107021,3.735815   ,1.748699,
355      ,-4616.807400,5582.761152,-10199.568552,3.725566   ,1.733610,
356      ,-4616.566356,5579.287673,-10195.854029,3.723248   ,1.737458,
357      ,-4616.627238,5588.523834,-10205.151072,3.729412   ,1.761887,
358      ,-4617.055434,5607.206476,-10224.261909,3.741880   ,1.801725,
